Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.351852;[-0.468483,-319.053,0.521692]
5;0.625;[0.139391,-318.977,0.378368]
6;0.62037;[-0.196227,-318.519,0.169158]
7;0.532407;[0.167508,-318.739,0.175978]
8;0.625;[0.325968,-318.635,-0.123384]
9;0.537037;[-0.367946,-318.637,0.31685]
10;0.587963;[0.204954,-318.757,-0.252127]
11;0.583333;[0.00331331,-318.832,0.108222]
12;0.638889;[-0.068494,-318.712,0.0626062]
13;0.569444;[-0.0863949,-318.757,0.235914]
14;0.634259;[0.363449,-318.56,-0.0679495]
15;0.574074;[-0.0457272,-318.726,-0.16085]
16;0.523148;[-0.0764588,-318.749,-0.030993]
17;0.513889;[-0.04765,-318.487,0.141051]
18;0.606481;[0.141436,-318.743,-0.118219]
19;0.564815;[0.268382,-318.653,0.101063]
20;0.592593;[0.0637573,-318.779,0.143556]
21;0.555556;[0.152506,-319.094,-0.434729]
22;0.546296;[0.0596394,-318.629,-0.263273]
23;0.601852;[0.0860539,-318.742,0.26649]
24;0.657407;[0.348064,-319.023,-0.0985687]
25;0.62037;[-0.206926,-318.567,-0.131398]
26;0.574074;[-0.198117,-319.016,0.0598046]
27;0.597222;[-0.458672,-318.938,-0.0262087]
28;0.587963;[-0.0930551,-318.485,-0.231019]
29;0.486111;[0.105381,-318.914,-0.0820859]
30;0.611111;[-0.366965,-319.174,-0.19103]
31;0.578704;[-0.163723,-318.81,0.122372]
32;0.509259;[0.114132,-318.948,0.0335705]
33;0.574074;[0.0429971,-318.944,-0.0587689]
34;0.587963;[0.205802,-318.492,-0.119924]
35;0.560185;[0.153441,-318.798,0.244452]
36;0.564815;[0.00454145,-318.536,0.0935784]
37;0.578704;[-0.348086,-318.549,-0.188532]
38;0.546296;[-0.249234,-318.723,-0.0985575]
39;0.592593;[0.07324,-318.874,-0.158814]
40;0.638889;[0.00274438,-318.956,-0.0121685]
41;0.606481;[0.208283,-318.818,-0.345986]
42;0.555556;[-0.102009,-318.622,0.0127137]
43;0.680556;[0.114749,-318.729,0.0822371]
44;0.0555556;[-0.858693,-318.39,-0.375957]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
