Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.24537;[-1.04268,-7.76683,-2.4086]
5;0.486111;[0.532778,-8.34079,-0.296499]
6;0.532407;[0.0373387,-10.1893,-1.36921]
7;0.476852;[-0.84939,-9.97745,-0.386265]
8;0.509259;[1.5671,-10.8212,-0.774246]
9;0.532407;[0.387854,-13.0067,-0.0125257]
10;0.518519;[0.189901,-14.2619,-0.613699]
11;0.560185;[-0.767483,-14.4403,-1.21217]
12;0.625;[-0.0204558,-14.259,0.277812]
13;0.509259;[-0.210345,-16.4521,-0.0882673]
14;0.597222;[-0.69381,-17.0235,0.509222]
15;0.62037;[0.133204,-16.1594,0.767568]
16;0.560185;[0.948234,-16.7732,1.26053]
17;0.652778;[-0.599308,-17.8982,0.577414]
18;0.694444;[0.118897,-17.714,-0.070955]
19;0.643519;[0.302626,-18.0068,-0.248568]
20;0.597222;[-0.565944,-18.5503,-0.257942]
21;0.625;[-0.8912,-17.5299,0.298523]
22;0.680556;[0.952768,-18.3532,-0.30272]
23;0.62037;[-0.79032,-18.7844,-0.0117182]
24;0.703704;[0.260254,-18.3041,0.126214]
25;0.634259;[-0.00836839,-19.1156,0.0526244]
26;0.587963;[-0.185583,-18.3849,-0.148032]
27;0.680556;[-0.905262,-17.9892,-0.311944]
28;0.62963;[-0.0870857,-19.5671,-1.01535]
29;0.671296;[0.604299,-18.0705,-0.0647315]
30;0.643519;[0.418606,-17.6979,0.0594398]
31;0.634259;[0.740244,-17.234,0.324048]
32;0.652778;[0.333449,-16.538,-0.169447]
33;0.601852;[0.633542,-15.713,0.311683]
34;0.625;[-0.302284,-15.1807,-0.449314]
35;0.560185;[-0.480087,-15.653,0.338671]
36;0.606481;[0.239249,-14.8421,0.0776964]
37;0.560185;[-0.105688,-13.9503,0.902548]
38;0.537037;[-0.365983,-12.8975,0.0453948]
39;0.481481;[0.215034,-11.0745,0.255792]
40;0.50463;[-0.870223,-11.6189,-0.594358]
41;0.490741;[0.0116818,-10.1867,0.376071]
42;0.402778;[1.33754,-8.45593,-0.491954]
43;0.62037;[-0.176938,-6.96218,-0.0295502]
44;0.0324074;[-1.12806,-8.88455,3.54923]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
