Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.509259;[-0.491678,-0.0132677,0.708222]
5;0.513889;[-0.213007,-0.619681,-0.943378]
6;0.731481;[-0.745951,-0.425329,0.673243]
7;0.347222;[-0.381163,-1.15008,0.515445]
8;0.763889;[-0.0375531,-1.76835,0.834317]
9;0.453704;[-0.0798588,-0.870587,0.828009]
10;0.648148;[-0.218279,-2.28032,-0.0317843]
11;0.513889;[0.474733,-2.61962,0.445865]
12;0.611111;[-0.443114,-3.53584,0.136647]
13;0.592593;[-0.120586,-2.37006,0.383037]
14;0.550926;[-0.416754,-2.85264,1.15872]
15;0.564815;[-0.28206,-2.26174,-0.603861]
16;0.550926;[-1.5074,-1.325,-0.949984]
17;0.560185;[-0.0516601,-2.5342,0.131152]
18;0.597222;[-0.259775,-2.59423,0.104641]
19;0.583333;[0.399414,-2.28694,-0.896654]
20;0.564815;[0.443653,-3.70544,-0.0931946]
21;0.546296;[-1.00741,-1.34285,0.0395261]
22;0.574074;[-0.80046,-3.15084,0.0862465]
23;0.592593;[-0.689674,-1.92668,-0.495624]
24;0.587963;[0.265687,-2.46734,0.956912]
25;0.606481;[-1.26154,-2.2626,-1.12372]
26;0.564815;[-0.0362505,-2.89203,-0.316403]
27;0.523148;[-0.183431,-1.85067,-0.39547]
28;0.625;[-0.0253302,-1.69158,-0.645048]
29;0.439815;[-0.841073,-2.08773,0.748461]
30;0.680556;[1.45183,-2.61862,0.110673]
31;0.513889;[-0.359242,-1.38698,-0.827836]
32;0.62963;[0.16926,-2.46535,0.687546]
33;0.560185;[-0.0301508,-2.91506,-0.673663]
34;0.583333;[-0.0376977,-1.86194,-0.151743]
35;0.550926;[-1.09136,-1.93195,-0.045974]
36;0.578704;[-0.215049,-1.44851,-0.110548]
37;0.592593;[-0.14419,-2.11959,-0.731509]
38;0.611111;[0.0492868,-2.14022,-0.313815]
39;0.513889;[0.257598,-2.06832,-0.269456]
40;0.564815;[-0.682656,-1.41937,-0.959306]
41;0.694444;[-0.139944,-0.724917,-0.0963688]
42;0.361111;[-0.769508,-1.5023,0.36548]
43;0.990741;[0.123444,-1.55095,0.881129]
44;0.00462963;[-8.70226,5.78549,9.36724]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
