Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.287037;[0.354025,-229.618,-1.48821]
5;0.726852;[0.736336,-228.666,0.0893901]
6;0.564815;[-0.1467,-228.389,-0.778576]
7;0.587963;[0.228452,-229.208,-0.00898552]
8;0.578704;[-0.0861563,-229.28,1.54812]
9;0.634259;[-0.436058,-229.775,-0.109603]
10;0.541667;[0.250724,-229.478,-0.117845]
11;0.615741;[-0.381306,-228.319,-0.260866]
12;0.550926;[-0.135226,-228.564,-0.421125]
13;0.62963;[0.717074,-229.163,-1.02216]
14;0.546296;[0.36031,-227.46,-0.137683]
15;0.643519;[0.388559,-229.03,0.251978]
16;0.518519;[-0.909705,-228.777,-0.228509]
17;0.537037;[0.343055,-227.87,0.59768]
18;0.574074;[0.770622,-228.532,-0.125135]
19;0.564815;[0.708871,-229.083,-0.505545]
20;0.601852;[-0.304005,-228.422,0.341134]
21;0.569444;[-0.407555,-228.079,0.271393]
22;0.648148;[0.350117,-228.981,0.616978]
23;0.509259;[-0.942872,-228.123,-0.433106]
24;0.62963;[0.173274,-228.136,-0.0424633]
25;0.597222;[-0.0269182,-229.631,0.273611]
26;0.597222;[1.42332,-229.558,0.156922]
27;0.5;[-1.3971,-227.557,0.0629922]
28;0.615741;[-0.0953789,-227.896,-0.0880597]
29;0.606481;[-0.0567554,-228.548,0.644257]
30;0.546296;[-0.550634,-228.01,0.869761]
31;0.541667;[1.17751,-228.51,-0.376087]
32;0.574074;[-0.58091,-228.731,0.00600821]
33;0.574074;[-0.144363,-228.982,0.490285]
34;0.574074;[0.125426,-229.82,-0.412257]
35;0.523148;[-0.701254,-228.661,-0.876143]
36;0.601852;[0.240847,-229.06,0.344594]
37;0.587963;[-0.676434,-228.28,-0.37699]
38;0.592593;[-0.211164,-229.952,0.657613]
39;0.62963;[-0.0340769,-229.46,0.853416]
40;0.569444;[-0.531703,-229.087,1.42888]
41;0.564815;[-0.469167,-229.062,-0.611329]
42;0.569444;[0.327108,-228.931,-0.0843608]
43;0.685185;[-0.516608,-228.703,0.215221]
44;0.037037;[4.24612,-229.97,0.0856975]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
