Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.0555556;[-0.963298,-177.225,-0.0152527]
5;0.726852;[-0.146159,-174.205,0.268137]
6;0.560185;[1.29151,-173.418,0.188244]
7;0.597222;[0.227614,-174.796,-0.12552]
8;0.537037;[0.333183,-174.662,-0.172488]
9;0.601852;[0.474546,-174.326,-0.805653]
10;0.675926;[0.369627,-174.506,0.201387]
11;0.513889;[0.0944005,-174.648,0.0382733]
12;0.597222;[-0.00105754,-174.057,-0.901589]
13;0.597222;[1.12536,-173.119,0.706587]
14;0.62037;[1.05879,-173.343,-0.54871]
15;0.583333;[1.31931,-175.217,1.05801]
16;0.643519;[-0.209427,-174.657,0.210828]
17;0.574074;[0.298453,-174.372,-0.147433]
18;0.601852;[-0.359467,-174.823,0.264287]
19;0.601852;[0.222741,-174.173,0.821974]
20;0.569444;[-0.256244,-174.234,-0.517796]
21;0.592593;[-0.28494,-174.943,0.271049]
22;0.583333;[-0.153545,-174.297,-0.145465]
23;0.532407;[-0.364435,-175.357,0.30386]
24;0.648148;[0.479484,-173.468,-0.316745]
25;0.597222;[-1.76543,-174.655,-0.275821]
26;0.601852;[-1.14519,-173.921,0.89063]
27;0.587963;[-0.477827,-174.724,0.392015]
28;0.50463;[-0.451558,-175.232,-0.111637]
29;0.662037;[0.714685,-174.799,0.100544]
30;0.509259;[-0.134826,-174.435,0.780037]
31;0.634259;[0.32164,-173.983,-0.357409]
32;0.541667;[0.162011,-173.617,-0.401767]
33;0.648148;[0.25763,-174.047,0.686276]
34;0.546296;[0.0513844,-175.072,0.921773]
35;0.634259;[-0.23724,-173.994,-0.0532735]
36;0.569444;[0.0145863,-174.449,-0.322938]
37;0.546296;[-0.262556,-174.341,0.581273]
38;0.62037;[-0.297954,-174.951,0.233591]
39;0.597222;[-0.153724,-175.139,0.619926]
40;0.550926;[0.666525,-173.796,-1.29842]
41;0.601852;[1.01354,-173.92,-0.651288]
42;0.578704;[0.214904,-175.106,-1.20383]
43;0.601852;[0.471618,-174.785,0.00617163]
44;0;[-nan,-nan,-nan]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
