Bin;Density;Velocity
0;1.66667;[0,0,0]
1;1.66667;[0,0,0]
2;0.00462963;[-12.9563,-10.6303,-6.30798]
3;0.472222;[0.797563,-9.686,-1.21681]
4;0.402778;[0.695507,-10.9884,0.301622]
5;0.402778;[0.591927,-11.9688,0.186525]
6;0.509259;[0.450161,-14.2559,0.035315]
7;0.476852;[1.35492,-12.6566,-0.771162]
8;0.481481;[-0.445866,-13.2858,-0.78554]
9;0.49537;[-0.590991,-15.7806,0.230323]
10;0.509259;[-0.428786,-15.3852,-0.851285]
11;0.546296;[0.099459,-16.6167,-0.301517]
12;0.532407;[-0.600094,-17.6831,-0.393161]
13;0.518519;[0.301868,-18.2696,-0.144838]
14;0.634259;[-0.039022,-18.841,-0.357106]
15;0.550926;[-0.394151,-18.5961,0.423393]
16;0.574074;[-0.562243,-20.314,0.0536244]
17;0.527778;[0.156251,-20.508,0.646332]
18;0.592593;[0.193756,-21.1368,-0.0728391]
19;0.606481;[1.3998,-21.8889,0.831869]
20;0.685185;[0.205085,-21.1312,-0.602103]
21;0.555556;[-0.319973,-22.8987,0.127693]
22;0.726852;[0.161053,-22.1723,-0.403406]
23;0.606481;[-0.0131591,-21.3659,-0.171052]
24;0.638889;[0.528666,-20.8993,-0.435052]
25;0.662037;[-0.269279,-22.5091,-0.573942]
26;0.606481;[0.300721,-21.2326,0.0477191]
27;0.583333;[-0.265909,-21.8157,0.116117]
28;0.652778;[-0.287514,-21.2409,-0.168258]
29;0.564815;[0.411249,-20.3739,0.80414]
30;0.648148;[-0.210915,-21.0969,0.331744]
31;0.587963;[-0.252611,-20.2327,0.0748161]
32;0.555556;[0.855037,-20.096,-0.389787]
33;0.587963;[0.0569609,-19.5098,0.467622]
34;0.601852;[0.401409,-18.315,0.171338]
35;0.541667;[1.09132,-18.0399,0.823868]
36;0.467593;[0.271659,-16.504,0.0334082]
37;0.518519;[-0.406603,-16.117,-0.355518]
38;0.476852;[-0.944258,-17.3183,-1.82562]
39;0.509259;[0.953092,-15.0414,-1.64368]
40;0.49537;[0.144439,-15.3038,0.672698]
41;0.402778;[-0.500579,-13.4807,0.788962]
42;0.439815;[-0.626587,-12.0126,-0.871386]
43;0.449074;[0.942402,-10.68,0.911326]
44;0.449074;[-0.983689,-10.8707,0.219468]
45;0.296296;[-1.13285,-9.86314,-0.0804733]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;1.66667;[0,0,0]
49;0;[-nan,-nan,-nan]
