Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.328704;[-0.0433486,-3876.47,-0.45927]
5;0.611111;[-0.0435103,-3874.24,0.156872]
6;0.550926;[0.269362,-3874.1,0.502561]
7;0.634259;[0.052686,-3875.66,1.07062]
8;0.527778;[-0.471289,-3874.95,1.29273]
9;0.569444;[0.418587,-3874.99,-0.17229]
10;0.564815;[0.145346,-3874.44,-0.653261]
11;0.560185;[-0.487081,-3874.94,0.9623]
12;0.657407;[0.243827,-3875.31,-0.340378]
13;0.574074;[0.557177,-3874.98,0.63933]
14;0.569444;[-0.495852,-3875.61,0.168558]
15;0.569444;[1.14934,-3874.17,-0.101548]
16;0.615741;[-0.00248159,-3874.59,-0.454913]
17;0.583333;[0.483344,-3875.07,-0.0316825]
18;0.550926;[-0.323279,-3874.94,0.305903]
19;0.523148;[1.10401,-3874.55,-1.12782]
20;0.62037;[-0.29346,-3874.65,0.307255]
21;0.550926;[0.193394,-3875.58,-0.118806]
22;0.537037;[0.863344,-3875.82,-0.785347]
23;0.527778;[-1.33262,-3874.46,-0.556764]
24;0.606481;[0.17091,-3874.8,0.424768]
25;0.574074;[0.110885,-3875.09,0.419411]
26;0.615741;[0.923609,-3874.6,0.662557]
27;0.597222;[0.718906,-3874.43,0.126858]
28;0.574074;[0.454105,-3875.06,-0.0115792]
29;0.611111;[-0.365491,-3875.24,-0.0816271]
30;0.643519;[0.268767,-3875.68,0.647908]
31;0.537037;[0.71768,-3874.83,0.35225]
32;0.569444;[0.408886,-3875.93,0.420648]
33;0.546296;[-0.845795,-3874.9,0.336152]
34;0.634259;[1.3082,-3874.7,-0.228086]
35;0.541667;[-0.287211,-3875.75,0.0161157]
36;0.578704;[0.076013,-3873.57,-0.632857]
37;0.555556;[0.327706,-3874.79,-0.783769]
38;0.597222;[0.113287,-3875.59,0.037449]
39;0.62037;[0.668161,-3874.79,-0.638828]
40;0.597222;[-0.2518,-3875.29,-0.43295]
41;0.574074;[0.2895,-3875,0.37192]
42;0.537037;[-1.21513,-3874.81,-0.626266]
43;0.777778;[0.418204,-3875.26,-0.810162]
44;0.0324074;[-4.61759,-3871.92,1.08996]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
