Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.259259;[-0.39069,-2.93775,-0.0152866]
5;0.546296;[-0.55556,-4.12253,-0.151756]
6;0.513889;[0.0574397,-5.29869,0.806108]
7;0.537037;[0.55738,-6.34888,-1.05526]
8;0.486111;[-0.541727,-6.713,0.328204]
9;0.555556;[-0.040979,-6.91557,0.529043]
10;0.50463;[1.03288,-7.75955,-0.135131]
11;0.606481;[0.591326,-8.33375,0.493628]
12;0.523148;[0.361337,-8.83701,0.185919]
13;0.564815;[-0.469334,-9.26199,0.0845131]
14;0.546296;[1.01694,-9.76861,0.209941]
15;0.652778;[0.16226,-8.97422,0.006954]
16;0.62037;[0.704377,-10.5074,-0.510309]
17;0.62037;[0.00816648,-10.1346,-0.305302]
18;0.666667;[-0.19803,-10.7478,0.270666]
19;0.606481;[0.159242,-11.2348,0.152655]
20;0.62963;[-0.589005,-10.99,0.679931]
21;0.597222;[0.058121,-11.8426,0.260329]
22;0.722222;[-0.847338,-10.5561,-0.448518]
23;0.634259;[-0.248811,-10.6301,0.643484]
24;0.652778;[-0.572734,-11.1795,-0.0848294]
25;0.62963;[0.0980017,-11.0675,-0.594509]
26;0.615741;[0.344825,-10.8366,0.0842782]
27;0.638889;[0.219377,-11.495,0.0253685]
28;0.625;[-0.167398,-11.1882,-0.0644814]
29;0.62963;[-0.0358243,-10.5576,-0.00609459]
30;0.62963;[0.583484,-10.5397,-0.122218]
31;0.527778;[0.0887065,-9.94654,0.0853517]
32;0.569444;[-0.288126,-10.0073,0.0176638]
33;0.546296;[-0.2372,-9.92064,0.423292]
34;0.634259;[-0.485953,-9.23737,0.0230758]
35;0.583333;[0.359761,-9.18051,0.231738]
36;0.625;[-1.06125,-8.70026,-0.256384]
37;0.550926;[0.20004,-7.88758,-0.769951]
38;0.527778;[0.495099,-8.09802,0.251565]
39;0.509259;[-0.500418,-6.94563,-0.473254]
40;0.550926;[-0.51724,-6.72006,0.312289]
41;0.49537;[0.850312,-5.75989,0.496612]
42;0.583333;[-0.36066,-4.31392,-0.0700135]
43;0.578704;[0.130701,-4.77427,-0.434421]
44;0.0509259;[0.589317,-2.68937,4.46902]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
