Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.166667;[0.183836,-2.09614,0.534669]
5;0.351852;[0.193653,-3.70707,0.142533]
6;0.37963;[-0.837809,-3.6674,-0.0510723]
7;0.388889;[-1.57887,-3.83512,0.294892]
8;0.351852;[0.624542,-3.846,-0.148361]
9;0.453704;[1.08527,-3.56858,0.649006]
10;0.328704;[-0.151927,-3.82319,-0.388158]
11;0.365741;[0.0458458,-4.62205,-0.724244]
12;0.384259;[0.0531891,-4.22321,-0.388193]
13;0.333333;[1.62232,-1.88883,0.29802]
14;0.37037;[0.406222,-3.12117,-0.934777]
15;0.384259;[-1.15593,-2.49145,-0.658813]
16;0.361111;[-1.16868,-3.98714,0.250524]
17;0.347222;[0.549104,-3.24021,-0.730461]
18;0.513889;[0.217147,-2.26594,0.283652]
19;0.305556;[1.09497,-2.02384,-0.0796316]
20;0.555556;[-0.754902,-1.31216,-0.843305]
21;0.592593;[0.29089,-1.43565,0.390872]
22;0.268519;[-1.28165,-2.03248,-0.994924]
23;0.675926;[-0.0241046,-1.7634,0.619092]
24;0.277778;[-0.767991,-3.33535,0.526993]
25;0.666667;[0.0747242,-1.10008,0.414886]
26;0.574074;[0.338053,-0.740566,-0.243508]
27;0.277778;[-0.436339,-1.23037,-0.194739]
28;0.648148;[0.0375029,-1.01766,0.229148]
29;0.25463;[0.70733,-1.1232,0.0149011]
30;0.555556;[-0.201804,-1.81242,-0.265794]
31;0.490741;[-0.349649,-1.59169,-0.325752]
32;0.388889;[0.772318,-2.96794,-0.540005]
33;0.37037;[-0.761814,-3.99644,0.281314]
34;0.333333;[-0.563666,-2.18351,0.152134]
35;0.393519;[0.44299,-3.85584,-0.076]
36;0.356481;[-0.636136,-2.60772,-0.116426]
37;0.333333;[-0.22388,-4.77527,-0.90675]
38;0.361111;[-1.2971,-4.42589,-0.337056]
39;0.435185;[0.112562,-4.57689,0.21553]
40;0.337963;[0.950931,-2.98551,0.214542]
41;0.416667;[-0.43979,-2.12131,0.467619]
42;0.407407;[-0.411597,-3.02089,0.278141]
43;0.462963;[-0.915072,-3.19871,-0.442457]
44;0.0509259;[-0.129139,-0.0311946,3.01419]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
