Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.166667;[-0.524589,-290.979,-0.31253]
5;0.486111;[0.694811,-290.639,0.31031]
6;0.416667;[-1.19786,-289.898,0.346124]
7;0.388889;[-1.0736,-289.97,-0.310306]
8;0.398148;[-0.101111,-291.049,0.55778]
9;0.407407;[1.12455,-291.231,-0.697174]
10;0.412037;[0.358102,-290.132,0.670229]
11;0.37963;[-0.496593,-291.793,-0.648791]
12;0.412037;[0.705935,-291.002,0.0911138]
13;0.425926;[-0.700831,-291.092,-0.21734]
14;0.375;[-0.238082,-290.709,-1.57271]
15;0.435185;[0.950653,-291.336,-0.795157]
16;0.393519;[-1.36004,-290.424,0.39264]
17;0.407407;[0.21426,-292.109,0.64402]
18;0.388889;[0.499654,-291.373,0.224933]
19;0.462963;[-0.138384,-291.847,-0.342682]
20;0.467593;[-0.473882,-291.289,0.116979]
21;0.398148;[0.281632,-290.234,-0.572881]
22;0.407407;[0.612585,-291.835,1.08533]
23;0.425926;[0.0293902,-291.301,-0.00773208]
24;0.398148;[0.303619,-291.461,0.0787097]
25;0.393519;[-0.166032,-292.216,0.362203]
26;0.398148;[-0.562587,-291.653,-0.949205]
27;0.398148;[1.74941,-291.762,0.102516]
28;0.435185;[-1.12352,-291.535,-0.281342]
29;0.361111;[0.546948,-291.175,-1.37669]
30;0.435185;[-0.522376,-291.219,-0.191393]
31;0.402778;[-0.0193057,-291.239,-0.0228951]
32;0.393519;[0.474039,-290.152,0.98521]
33;0.407407;[0.101009,-290.907,0.245955]
34;0.388889;[-0.282312,-291.528,-0.219759]
35;0.407407;[-0.798964,-291.369,0.593342]
36;0.439815;[-0.403412,-290.688,0.137404]
37;0.37963;[-0.519413,-291.427,-0.12877]
38;0.384259;[-0.237151,-291.814,-1.01935]
39;0.453704;[0.621039,-291.044,-0.357829]
40;0.393519;[0.906594,-291.641,0.792151]
41;0.430556;[-0.428565,-291.066,1.30093]
42;0.388889;[-0.0170261,-290.905,0.131118]
43;0.509259;[0.238944,-291.534,0.0750388]
44;0.0185185;[1.74273,-291.36,3.78179]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
