Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.157407;[-1.98658,-34.6686,-0.648434]
5;0.333333;[-1.99387,-32.3235,-1.32113]
6;0.324074;[0.148389,-33.9144,1.78281]
7;0.351852;[-1.86347,-34.5246,1.49843]
8;0.310185;[-0.0302051,-34.2372,-0.598344]
9;0.398148;[-0.526817,-34.4035,1.09321]
10;0.342593;[0.990097,-35.9083,0.977099]
11;0.412037;[-1.0333,-36.6907,-0.380429]
12;0.398148;[-1.22407,-36.7434,-0.0119542]
13;0.421296;[0.0404246,-35.3266,0.51328]
14;0.472222;[-0.433211,-35.5296,0.631393]
15;0.361111;[-0.47707,-37.8702,-0.654967]
16;0.439815;[-0.0188929,-38.063,-0.0140746]
17;0.462963;[-0.147396,-36.8404,-0.50391]
18;0.546296;[0.245486,-38.6324,-0.00956733]
19;0.50463;[1.09187,-37.3726,-0.757107]
20;0.532407;[0.253382,-38.71,0.535115]
21;0.5;[0.603286,-37.7259,-0.176206]
22;0.476852;[1.16668,-37.0048,-0.0881338]
23;0.523148;[-1.05194,-38.3334,0.452385]
24;0.435185;[0.462004,-38.382,0.661279]
25;0.490741;[-0.776972,-37.8089,-0.0382773]
26;0.486111;[0.579776,-37.0707,0.0860359]
27;0.481481;[0.245048,-38.6816,-0.514534]
28;0.467593;[-0.365365,-37.2561,0.0469256]
29;0.435185;[0.0881316,-37.3375,-0.384437]
30;0.453704;[-1.44872,-37.7074,-0.171807]
31;0.412037;[-0.498275,-38.08,-0.066455]
32;0.421296;[-0.188918,-36.8224,-0.749504]
33;0.416667;[-0.636077,-36.2971,0.52504]
34;0.375;[-1.40013,-35.7363,-0.761265]
35;0.435185;[0.558049,-34.4295,0.660476]
36;0.319444;[0.206501,-34.7888,-1.52347]
37;0.402778;[0.829744,-34.8263,1.2785]
38;0.361111;[0.487716,-32.9935,0.191936]
39;0.342593;[-0.909558,-32.0784,-0.455709]
40;0.268519;[1.05593,-32.7157,-1.20509]
41;0.356481;[-0.410778,-31.1005,0.705699]
42;0.324074;[-1.55867,-32.3602,-0.35859]
43;0.291667;[-1.06421,-34.948,-0.562165]
44;0.0277778;[6.14756,-31.5266,5.42791]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
