Bin;Density;Velocity
0;0;[-nan,-nan,-nan]
1;1.66667;[0,0,0]
2;0;[-nan,-nan,-nan]
3;1.66667;[0,0,0]
4;0.351852;[0.582588,-196.953,0.358871]
5;0.597222;[-0.109259,-197.02,0.186216]
6;0.569444;[0.332858,-197.246,-0.659286]
7;0.643519;[-0.311278,-197.469,-0.944488]
8;0.560185;[-0.898298,-197.703,-0.384551]
9;0.569444;[0.36659,-197.706,1.08345]
10;0.569444;[-0.0460707,-197.905,0.209952]
11;0.615741;[0.42465,-197.375,-0.404446]
12;0.574074;[0.000798994,-196.984,0.381602]
13;0.662037;[0.34615,-197.496,0.261246]
14;0.527778;[-0.447674,-198.391,-0.22237]
15;0.611111;[-0.728053,-197.885,0.390773]
16;0.560185;[1.23194,-197.991,0.28667]
17;0.62037;[-0.548388,-198.199,0.369687]
18;0.449074;[-1.72542,-198.602,-0.192404]
19;0.587963;[-0.222246,-197.886,-1.10634]
20;0.597222;[-0.514942,-197.097,1.08088]
21;0.564815;[-1.03695,-197.56,0.338158]
22;0.569444;[-0.597755,-198.833,-0.302372]
23;0.62037;[0.253629,-197.791,0.212648]
24;0.532407;[-0.286533,-197.928,0.339655]
25;0.569444;[-1.1086,-197.528,0.54553]
26;0.550926;[-0.616343,-196.53,-1.16767]
27;0.62037;[0.183458,-198.239,-0.804973]
28;0.597222;[-0.264183,-198.179,-1.00374]
29;0.592593;[-0.522267,-197.164,-0.461987]
30;0.574074;[-0.00696669,-198.222,-0.799404]
31;0.62963;[0.44325,-198.245,-0.0833983]
32;0.518519;[-1.56391,-197.967,0.507699]
33;0.587963;[0.793097,-197.418,-0.566889]
34;0.615741;[-0.0392375,-196.987,-0.415318]
35;0.578704;[0.391577,-197.41,-0.325291]
36;0.611111;[-0.727614,-197.006,-0.979369]
37;0.532407;[0.734678,-197.529,-0.298937]
38;0.648148;[-0.966791,-197.351,0.15265]
39;0.509259;[-0.471425,-198.561,0.0351695]
40;0.606481;[0.432247,-197.808,-0.0476297]
41;0.527778;[-1.02764,-197.606,0.45642]
42;0.550926;[-0.604011,-197.439,-0.400507]
43;0.736111;[0.376196,-198.495,-0.259296]
44;0.037037;[-1.9255,-195.018,-1.54309]
45;1.66667;[0,0,0]
46;1.66667;[0,0,0]
47;0;[-nan,-nan,-nan]
48;0;[-nan,-nan,-nan]
49;0;[-nan,-nan,-nan]
